District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
H,Kowjalgi,537,568,6
H,Arbhavi,560,665,19
T,Hukkeri,649,955,47
H,Hukkeri,649,900,39
H,Sankeswar,812,1041,28
H,Yamkanmardi,685,929,36
T,Khanapur,1950,2145,10
H,Khanapur,1950,1638,-16
H,Bidi,1413,1442,2
H,Gunji,2263,2394,6
H,Jamboti,1856,2456,32
T,RAMADURGA,540,682,26
H,Ramdurg,540,626,16
H,Bidki,534,679,27
H,Katkol,536,782,46
H,Mudkavi,543,575,6
T,Raibagh,483,582,21
H,Raibagh,483,596,23
H,Kudchi,529,570,8
T,Soundatti,568,848,49
H,Savadatti,568,837,47
H,Manoli,562,649,15
H,Muragoda,607,946,56
H,Yargatti,533,949,78
T,Kitthuru,1036,1200,16
H,Kittur,1036,1182,14
T,Nippani,838,1025,22
H,Nippani,838,1117,33
H,Sadalgi,767,877,14
T,Kagavada,541,569,5
H,Kagwad,541,566,5
T,Mudagali,534,570,7
H,Arbhavi,534,584,10
H,Kowjalgi,529,560,6
D,BAGALKOTE,582,550,-6
T,Badami,600,585,-2
H,Badami,600,570,-5
H,Kerur,570,556,-2
H,Kulgeri,583,612,5
T,Bagalkote,613,521,-15
H,Bagalkote,613,597,-3
H,Kaladgi,548,441,-19
H,Rampura,612,495,-19
T,Bilgi,609,501,-18
H,Bilgi,609,500,-18
H,Anagvadi,599,498,-17
T,Hungund,670,687,3
H,Hungund,670,700,5
H,Amingarh,633,677,7
H,Karadi,652,669,3
T,Jamkhandi,548,445,-19
H,Jamakhandi,548,424,-23
H,Savalagi,530,462,-13
H,Terdal,543,441,-19
T,Mudhol,532,512,-4
H,Mudhol,532,490,-8
H,Lokapur,473,535,13
T,Guledagudda,607,653,8
H,Guledagudda,607,647,7
T,Ilkal,651,667,2
H,Ilkal,651,645,-1
H,Amingarh,636,640,1
H,Karadi,654,756,16
T,Rabakavi Banahatti,496,404,-19
H,Terdal,496,405,-18
H,Mudhol,550,408,-26
D,VIJAYAPURA,591,587,-1
T,BAGEVADI,669,574,-14
H,Basavana Bagewadi,669,576,-14
H,Huvin Hippargi,647,603,-7
H,Managuli,608,544,-11
T,Vijayapura,671,584,-13
H,Vijayapura,671,581,-13
H,Nagathan,392,588,50
T,Indi,620,579,-7
H,Indi,620,583,-6
H,Ballolli,563,564,0
T,Muddebihal,652,561,-14
H,Muddebihal,652,566,-13
H,Dhavalagi,638,591,-7
H,Nalatvad,691,528,-24
T,Sindgi,658,635,-3
H,Sindhagi,658,618,-6
H,Almel,646,652,1
T,Babaleshwara,545,468,-14
H,Babaleshwar,545,422,-23
H,Mamdapur,569,572,1
T,Chadachana,552,662,20
H,Chadchan,552,660,19
T,Nidagundi,616,479,-22
H,Nidagundi,616,463,-25
H,Basavana Bagewadi,631,450,-29
H,Huvin Hipprgi,629,532,-15
H,Muddebihal,615,508,-17
H,Dhavalagi,624,432,-31
T,Talikote,586,637,9
H,Talikoti,586,647,10
H,Devarhipargi,597,624,4
H,Dhavalagi,612,670,9
H,Huvinhippargi,603,536,-11
T,Tikota,406,593,46
H,Tikota,406,593,46
T,Kolhara,606,513,-15
H,Kolhar,606,512,-16
T,Devara Hipparagi,630,663,5
H,Devar Hipparagi,630,652,3
H,Huvinhiprgi,625,643,3
D,GADAG,624,678,9
T,Gadag,659,734,11
H,Gadag,659,907,38
H,Betageri,655,605,-8
T,Mundargi,557,583,5
H,Mundargi,557,623,12
H,Dambal,462,560,21
T,Naragund,557,693,24
H,Naragund,557,727,31
H,Konnur,583,642,10
T,Ron,699,629,-10
H,Ron,699,647,-7
H,Hole Alur,623,629,1
H,Nargil,668,658,-1
T,Shirahatti,689,714,4
H,Shirahatti,689,713,4
T,Gajendragad,737,660,-10
H,Rona,737,764,4
H,Nargil,660,627,-5
T,Laxmeshwar,594,823,39
H,Laxmeshwar,594,822,38
D,HAVERI,800,1013,27
T,Byadgi,679,1062,57
H,Byadgi,679,960,41
H,Kaginelli,797,1195,50
T,Hanagal,1044,1160,11
H,Hangal,1044,1278,22
H,Akki Alur,1067,1151,8
H,Bommanhalli,1024,1056,3
T,Haveri,778,893,15
H,Haveri,778,971,25
H,Guttal,619,826,34
H,Karajgi,732,925,26
T,Hirekerur,856,1074,25
H,Hirekerur,856,1168,36
H,Haunsbhavi,918,986,7
T,RANEBENNUR,623,966,55
H,Ranebennur,623,1010,62
H,Kuppelur,708,1047,48
H,Medleri,651,864,33
T,Savanur,699,952,36
H,Savanur,699,876,25
H,Hatti Mattur,717,1020,42
T,Shiggaon,814,975,20
H,Shiggaon,814,839,3
H,Bankapur,808,1015,26
H,Dhundsi,955,1045,9
T,Ratteehalli,790,1085,37
H,Rattihalli,790,1091,38
H,Hirekerur,830,1074,29
D,DHARWAD,787,965,23
T,Dharwad,777,1060,36
H,Dharwad,777,1156,49
H,Aminbhavi,792,863,9
H,Garag,908,1119,23
T,Hubballi,772,935,21
H,Chabbi,772,1136,47
